,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1170,2023-01-09 00:00:00,17177.36,17103.2,17115.81,5940.14,101806495.33,17173.25,direct,
1171,2023-01-09 01:00:00,17199.27,17142.3,17173.25,3285.66,56425843.31,17172.57,direct,
1172,2023-01-09 02:00:00,17237.71,17159.11,17172.57,4592.09,79002249.28,17184.95,direct,
1173,2023-01-09 03:00:00,17208.42,17176.27,17184.95,1559.64,26812475.72,17193.04,direct,
1174,2023-01-09 04:00:00,17239.09,17191.74,17193.04,2490.21,42876810.74,17221.89,direct,
1175,2023-01-09 05:00:00,17245.41,17200.33,17221.89,1934.25,33315089.68,17201.54,direct,
1176,2023-01-09 06:00:00,17209.48,17179.81,17201.54,1420.11,24424002.44,17186.61,direct,
1177,2023-01-09 07:00:00,17208.79,17182.91,17186.61,1526.72,26252562.96,17196.86,direct,
1178,2023-01-09 08:00:00,17225.11,17183.71,17196.86,2405.49,41384358.88,17190.34,direct,
1179,2023-01-09 09:00:00,17255.77,17188.02,17190.34,3079.4,53068083.38,17235.75,direct,
1180,2023-01-09 10:00:00,17274.68,17234.64,17235.75,2512.03,43352997.88,17260.11,direct,
1181,2023-01-09 11:00:00,17273.59,17236.35,17260.11,1514.09,26129909.68,17237.05,direct,
1182,2023-01-09 12:00:00,17250.51,17228.7,17237.05,1417.66,24441345.49,17246.34,direct,
1183,2023-01-09 13:00:00,17284.98,17196.14,17246.34,3001.75,51769337.48,17224.92,direct,
1184,2023-01-09 14:00:00,17266.62,17210.05,17224.92,3386.69,58385804.5,17260.83,direct,
1185,2023-01-09 15:00:00,17322.48,17228.8,17260.83,5257.17,90833801.65,17268.74,direct,
1186,2023-01-09 16:00:00,17349.59,17268.29,17268.74,4688.72,81178927.97,17323.95,direct,
1187,2023-01-09 17:00:00,17371.35,17316.41,17323.95,3475.68,60281504.55,17352.88,direct,
1188,2023-01-09 18:00:00,17387.59,17325.51,17352.88,3987.41,69221973.21,17343.62,direct,
1189,2023-01-09 19:00:00,17347.9,17296.97,17343.62,3101.24,53734140.79,17297.02,direct,
1190,2023-01-09 20:00:00,17307.05,17181.99,17297.02,5763.95,99348394.96,17212.2,direct,
1191,2023-01-09 21:00:00,17242.47,17168.74,17212.2,3516.71,60496982.46,17178.41,direct,
1192,2023-01-09 22:00:00,17220.7,17169.32,17178.41,1621.72,27889051.86,17201.87,direct,
1193,2023-01-09 23:00:00,17202.88,17133.62,17201.87,2301.05,39511415.72,17179.03,direct,
1194,2023-01-10 00:00:00,17215.89,17176.82,17179.03,2747.04,47223775.25,17214.8,direct,
1195,2023-01-10 01:00:00,17229.67,17188.29,17214.8,1843.56,31724236.52,17193.23,direct,
1196,2023-01-10 02:00:00,17211.51,17148.57,17193.23,2023.18,34755319.77,17181.83,direct,
1197,2023-01-10 03:00:00,17204.72,17173.48,17181.83,868.42,14927742.74,17204.72,direct,
1198,2023-01-10 04:00:00,17216.92,17196.38,17204.72,1003.14,17258515.77,17216.4,direct,
1199,2023-01-10 05:00:00,17230.29,17207.64,17216.4,792.01,13637058.43,17226.13,direct,
1200,2023-01-10 06:00:00,17229.66,17190.33,17226.13,866.85,14917373.26,17202.57,direct,
